"region","Code_iso3","country_name","city","measure_year","measure_pm25_μg_m3","measure_PM10_μg_m3","measure_NO2_μg_m3","PM25_temporal_coverage","PM10_temporal_coverage","NO2_temporal_coverage","source","monitoring_station_number","database_version","status"
"European Region","CHE","Switzerland","Chaumont",2019,NA,6.5,5,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Chaumont",2020,NA,6.7,3.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Chiasso",2016,NA,22,35,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chiasso",2017,20,26,38,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chiasso",2018,16,21,32,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chiasso",2019,13.7,18.6,30.9,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chiasso",2020,18,23.7,27,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chur",2016,NA,12.65,23.6,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chur",2017,NA,12.85,22.6,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chur",2018,10,14.25,21.2,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chur",2019,9,12.75,18.6,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chur",2020,8.2,13.55,16.75,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Davos",2016,7.2,7.25,11.8,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Davos",2017,NA,6.8,11.55,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Davos",2018,NA,12.5,12.9,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Davos",2019,7.3,8.45,12.05,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Davos",2020,7.2,8.65,11.7,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Delémont",2016,NA,15.8,14.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Delémont",2017,NA,16,13.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Delémont",2018,NA,16,13.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Delémont",2019,NA,14.6,13.6,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Delémont",2020,NA,15.9,11.4,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dornach",2016,NA,11.9,14.1,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dornach",2017,NA,14,15,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dornach",2018,NA,14,14,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dornach",2019,10,12,13,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dornach",2020,8,12,11,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dubendorf",2016,NA,13.72,24.89,NA,NA,99.64708561,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Dubendorf",2017,9.6,13.78,24.72,NA,NA,99.56621005,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Dubendorf",2018,10.81,14.85,23.33,NA,NA,98.92694064,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Dubendorf",2019,9.04,12.72,21.61,NA,NA,99.69178082,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Dübendorf",2016,10.4,13.7,24.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dübendorf",2017,9.5,13.8,24.7,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dübendorf",2018,10.7,14.8,23.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dübendorf",2019,9,12.7,21.6,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Dübendorf",2020,8.4,11.9,19.5,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Ebikon",2016,NA,14.6,20.58,NA,NA,99.98861566,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ebikon",2016,NA,14.6,20.58,NA,NA,99.98861566,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Ebikon",2017,NA,14,19.8,NA,NA,99.57762557,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ebikon",2017,NA,14,19.8,NA,NA,99.57762557,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Ebikon",2018,NA,15.38,18.31,NA,NA,99.89726027,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ebikon",2018,NA,15.38,18.31,NA,NA,99.89726027,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Ebikon",2019,NA,13.82,17.5,NA,NA,99.02968037,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ebikon",2019,NA,13.82,17.5,NA,NA,99.02968037,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Ebikon",2020,NA,12.8,16.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Egerkingen",2016,NA,16,28,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Egerkingen",2017,NA,16,27,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Egerkingen",2018,NA,17,27,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Egerkingen",2019,12,15,26,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Egerkingen",2020,9,13,24,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Eggerberg",2016,NA,10.5,9.1,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Eggerberg",2017,NA,10.8,9.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Eggerberg",2018,NA,9.9,8.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Eggerberg",2019,NA,8.9,8.1,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Eggerberg",2020,NA,9.7,7.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Erstfeld",2016,NA,12.1,29.4,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Erstfeld",2017,NA,12.3,28.6,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Erstfeld",2018,NA,12.9,24.9,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Erstfeld",2019,NA,10.4,24.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Erstfeld",2020,7,10.8,20.9,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Fribourg",2016,NA,14.45,25.85,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Fribourg",2017,NA,14.35,25.35,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Fribourg",2018,11.5,15.1,23.95,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Fribourg",2019,8.8,13.2,13.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Fribourg",2020,8.7,12.4,18.95,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Geneve",2017,NA,16.78,38.25,NA,NA,99.89726027,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Geneve",2018,NA,17.19,34.66,NA,NA,99.93150685,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Geneve",2019,NA,16.05,35.21,NA,NA,99.93150685,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Genève",2016,NA,17.8,39.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Genève",2017,NA,17.6,38.4,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Genève",2018,NA,17.7,34.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Genève",2019,11.6,17,35.4,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Genève",2020,11.2,16.3,30.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Giubiasco",2016,NA,18,24,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Giubiasco",2017,11,19,25,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Giubiasco",2018,10,17,21,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Giubiasco",2019,8.4,14.7,19.9,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Giubiasco",2020,9,16,19,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Glarus",2016,NA,12.7,14.6,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Glarus",2018,NA,13.5,14.1,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Glarus",2020,NA,8.1,11.7,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Grabs",2018,10.8,14.3,12.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Grabs",2019,8.6,11.8,12.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Härkingen",2016,11.3,15.1,37.7,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Härkingen",2017,10.6,15.6,38.4,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Härkingen",2018,11.2,15.9,33.7,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Härkingen",2019,9.7,14.3,31.8,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Härkingen",2020,8.5,13.1,26.7,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Horgen",2017,NA,12.6,15.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Horgen",2018,NA,13.4,18,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Ittigen",2016,NA,14.85,20.08,NA,NA,98.62249545,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ittigen",2016,NA,14.85,20.08,NA,NA,98.62249545,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Ittigen",2017,NA,13.72,19.76,NA,NA,99.49771689,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Ittigen",2017,NA,13.72,19.76,NA,NA,99.49771689,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Jungfraujoch",2016,NA,1.7,0.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Jungfraujoch",2017,NA,2.7,0.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Jungfraujoch",2018,NA,2.6,0.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Jungfraujoch",2019,NA,2.5,0.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Jungfraujoch",2020,NA,2.2,0.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Kussnacht",2016,NA,6.21,5.67,NA,NA,99.53324226,"European Environment Agency (downloaded in 2021)",NA,2022,NA
